Source Name,Characteristics[organism],Characteristics[cell line],Material Type,Protocol REF...5,Protocol REF...6,Extract Name,Protocol REF...8,Labeled Extract Name,Label,Protocol REF...11,Assay Name,Technology Type,Array Design REF,Term Source REF,Protocol REF...16,Array Data File,Comment [ArrayExpress FTP file],Factor Value[cell_line]
J132_EPB03P1_DSH1_Bladder_753552,Homo sapiens,DSH1,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB03P1_DSH1_Bladder_753552,P-MTAB-44937,J132_EPB03P1_DSH1_Bladder_753552:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B03,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B03.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.4.zip,DSH1
J132_EPB04P1_HT-1197_Bladder_907065,Homo sapiens,HT-1197,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB04P1_HT-1197_Bladder_907065,P-MTAB-44937,J132_EPB04P1_HT-1197_Bladder_907065:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B04,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B04.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.4.zip,HT-1197
J132_EPB05P1_MDA-MB-157_Breast_925338,Homo sapiens,MDA-MB-157,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB05P1_MDA-MB-157_Breast_925338,P-MTAB-44937,J132_EPB05P1_MDA-MB-157_Breast_925338:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B05,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B05.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.4.zip,MDA-MB-157
J132_EPB06P1_H2373_Lung_1290809,Homo sapiens,H2373,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB06P1_H2373_Lung_1290809,P-MTAB-44937,J132_EPB06P1_H2373_Lung_1290809:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B06,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B06.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.4.zip,H2373
J132_EPB07P1_ES1_Bone_949158,Homo sapiens,ES1,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB07P1_ES1_Bone_949158,P-MTAB-44937,J132_EPB07P1_ES1_Bone_949158:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B07,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B07.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip,ES1
J132_EPB08P1_HDLM-2_Blood_924110,Homo sapiens,HDLM-2,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB08P1_HDLM-2_Blood_924110,P-MTAB-44937,J132_EPB08P1_HDLM-2_Blood_924110:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B08,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B08.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip,HDLM-2
J132_EPB09P1_H2731_Lung_1240134,Homo sapiens,H2731,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB09P1_H2731_Lung_1240134,P-MTAB-44937,J132_EPB09P1_H2731_Lung_1240134:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B09,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B09.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip,H2731
J132_EPB10P1_IST-MEL1_Skin_907172,Homo sapiens,IST-MEL1,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB10P1_IST-MEL1_Skin_907172,P-MTAB-44937,J132_EPB10P1_IST-MEL1_Skin_907172:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B10,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B10.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.5.zip,IST-MEL1
J132_EPB11P1_5637_Bladder_687452,Homo sapiens,5637,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB11P1_5637_Bladder_687452,P-MTAB-44937,J132_EPB11P1_5637_Bladder_687452:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B11,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B11.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip,5637
J132_EPB12P1_786-o_Kidney_905947,Homo sapiens,786-o,cell,P-MTAB-44941,P-MTAB-44940,J132_EPB12P1_786-o_Kidney_905947,P-MTAB-44937,J132_EPB12P1_786-o_Kidney_905947:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_B12,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_B12.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip,786-o
J132_EPC01P1_HeLa_Cervix_1298134,Homo sapiens,HeLa,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC01P1_HeLa_Cervix_1298134,P-MTAB-44937,J132_EPC01P1_HeLa_Cervix_1298134:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C01,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C01.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip,HeLa
J132_EPC02P1_HMV-II_Skin_907058,Homo sapiens,HMV-II,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC02P1_HMV-II_Skin_907058,P-MTAB-44937,J132_EPC02P1_HMV-II_Skin_907058:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C02,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C02.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip,HMV-II
J132_EPC03P1_H2818_Lung_1290814,Homo sapiens,H2818,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC03P1_H2818_Lung_1290814,P-MTAB-44937,J132_EPC03P1_H2818_Lung_1290814:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C03,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C03.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.6.zip,H2818
J132_EPC04P1_M14_Skin_905975,Homo sapiens,M14,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC04P1_M14_Skin_905975,P-MTAB-44937,J132_EPC04P1_M14_Skin_905975:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C04,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C04.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.7.zip,M14
J132_EPC05P1_HT-29_Intestin_905939,Homo sapiens,HT-29,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC05P1_HT-29_Intestin_905939,P-MTAB-44937,J132_EPC05P1_HT-29_Intestin_905939:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C05,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C05.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.7.zip,HT-29
J132_EPC06P1_AU565_Breast_910704,Homo sapiens,AU565,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC06P1_AU565_Breast_910704,P-MTAB-44937,J132_EPC06P1_AU565_Breast_910704:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C06,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C06.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.7.zip,AU565
J132_EPC07P1_NCI-H441_Lung_908460,Homo sapiens,NCI-H441,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC07P1_NCI-H441_Lung_908460,P-MTAB-44937,J132_EPC07P1_NCI-H441_Lung_908460:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C07,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C07.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.7.zip,NCI-H441
J132_EPC08P1_SW1088_CNS_909745,Homo sapiens,SW1088,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC08P1_SW1088_CNS_909745,P-MTAB-44937,J132_EPC08P1_SW1088_CNS_909745:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C08,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C08.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.8.zip,SW1088
J132_EPC09P1_IST-MES1_Lung_907173,Homo sapiens,IST-MES1,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC09P1_IST-MES1_Lung_907173,P-MTAB-44937,J132_EPC09P1_IST-MES1_Lung_907173:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C09,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C09.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.8.zip,IST-MES1
J132_EPC10P1_HCT-116_Intestin_905936,Homo sapiens,HCT-116,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC10P1_HCT-116_Intestin_905936,P-MTAB-44937,J132_EPC10P1_HCT-116_Intestin_905936:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C10,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C10.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.8.zip,HCT-116
J132_EPC11P1_GA-10_Blood_1303896,Homo sapiens,GA-10,cell,P-MTAB-44941,P-MTAB-44940,J132_EPC11P1_GA-10_Blood_1303896,P-MTAB-44937,J132_EPC11P1_GA-10_Blood_1303896:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_C11,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_C11.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.8.zip,GA-10
J132_EPD05P1_NCI-H358_Lung_908465,Homo sapiens,NCI-H358,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD05P1_NCI-H358_Lung_908465,P-MTAB-44937,J132_EPD05P1_NCI-H358_Lung_908465:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D05,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D05.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.10.zip,NCI-H358
J132_EPD06P1_Becker_CNS_906746,Homo sapiens,Becker,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD06P1_Becker_CNS_906746,P-MTAB-44937,J132_EPD06P1_Becker_CNS_906746:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D06,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D06.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.10.zip,Becker
J132_EPD07P1_RS4-11_Blood_909703,Homo sapiens,RS4-11,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD07P1_RS4-11_Blood_909703,P-MTAB-44937,J132_EPD07P1_RS4-11_Blood_909703:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D07,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D07.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.10.zip,RS4-11
J132_EPD08P1_NCI-H727_Lung_724855,Homo sapiens,NCI-H727,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD08P1_NCI-H727_Lung_724855,P-MTAB-44937,J132_EPD08P1_NCI-H727_Lung_724855:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D08,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D08.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.10.zip,NCI-H727
J132_EPD09P1_NCI-H1299_Lung_724831,Homo sapiens,NCI-H1299,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD09P1_NCI-H1299_Lung_724831,P-MTAB-44937,J132_EPD09P1_NCI-H1299_Lung_724831:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D09,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D09.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.11.zip,NCI-H1299
J132_EPD10P1_COLO-800_Skin_906813,Homo sapiens,COLO-800,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD10P1_COLO-800_Skin_906813,P-MTAB-44937,J132_EPD10P1_COLO-800_Skin_906813:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D10,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D10.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.11.zip,COLO-800
J132_EPD11P1_BT-474_Breast_946359,Homo sapiens,BT-474,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD11P1_BT-474_Breast_946359,P-MTAB-44937,J132_EPD11P1_BT-474_Breast_946359:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D11,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D11.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.11.zip,BT-474
J132_EPD12P1_Saos-2_Bone_909707,Homo sapiens,Saos-2,cell,P-MTAB-44941,P-MTAB-44940,J132_EPD12P1_Saos-2_Bone_909707,P-MTAB-44937,J132_EPD12P1_Saos-2_Bone_909707:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_D12,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_D12.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.11.zip,Saos-2
J132_EPE01P1_NCI-H838_Lung_910399,Homo sapiens,NCI-H838,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE01P1_NCI-H838_Lung_910399,P-MTAB-44937,J132_EPE01P1_NCI-H838_Lung_910399:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E01,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E01.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.11.zip,NCI-H838
J132_EPE06P1_CAL-54_Kidney_910952,Homo sapiens,CAL-54,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE06P1_CAL-54_Kidney_910952,P-MTAB-44937,J132_EPE06P1_CAL-54_Kidney_910952:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E06,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E06.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.13.zip,CAL-54
J132_EPE07P1_WM-115_Skin_909784,Homo sapiens,WM-115,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE07P1_WM-115_Skin_909784,P-MTAB-44937,J132_EPE07P1_WM-115_Skin_909784:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E07,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E07.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.13.zip,WM-115
J132_EPE08P1_NCI-H2009_Lung_724873,Homo sapiens,NCI-H2009,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE08P1_NCI-H2009_Lung_724873,P-MTAB-44937,J132_EPE08P1_NCI-H2009_Lung_724873:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E08,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E08.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.13.zip,NCI-H2009
J132_EPE09P1_ES3_Bone_684055,Homo sapiens,ES3,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE09P1_ES3_Bone_684055,P-MTAB-44937,J132_EPE09P1_ES3_Bone_684055:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E09,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E09.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.13.zip,ES3
J132_EPE10P1_COLO-741_Intestin_906815,Homo sapiens,COLO-741,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE10P1_COLO-741_Intestin_906815,P-MTAB-44937,J132_EPE10P1_COLO-741_Intestin_906815:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E10,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E10.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.14.zip,COLO-741
J132_EPE11P1_D-283MED_CNS_906834,Homo sapiens,D-283MED,cell,P-MTAB-44941,P-MTAB-44940,J132_EPE11P1_D-283MED_CNS_906834,P-MTAB-44937,J132_EPE11P1_D-283MED_CNS_906834:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_E11,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_E11.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.14.zip,D-283MED
J132_EPF01P1_639-V_Bladder_906798,Homo sapiens,639-V,cell,P-MTAB-44941,P-MTAB-44940,J132_EPF01P1_639-V_Bladder_906798,P-MTAB-44937,J132_EPF01P1_639-V_Bladder_906798:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_F01,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_F01.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.14.zip,639-V
J132_EPF02P1_OE19_Esophag_910079,Homo sapiens,OE19,cell,P-MTAB-44941,P-MTAB-44940,J132_EPF02P1_OE19_Esophag_910079,P-MTAB-44937,J132_EPF02P1_OE19_Esophag_910079:Biotin labeled streptavidin,Biotin labeled streptavidin,P-MTAB-44938,5500994157493061613625_F02,array assay,A-GEOD-13667,ArrayExpress,P-MTAB-44939,5500994157493061613625_F02.cel,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.14.zip,OE19
